Question,Expected SQL,Generated SQL,Executed Successfully,Correct Result,Retry Needed,Final Status,Latency (s)
List all products,SELECT * FROM products;,SELECT * FROM products;,Yes,Yes,No,Success,33.49
Get all customers,SELECT * FROM customers;,SELECT * FROM customers;,Yes,Yes,No,Success,10.54
Show all orders,SELECT * FROM orders;,,No,No,No,Failed,22.19
List all employees,SELECT * FROM employees;,SELECT * FROM employees;,Yes,Yes,No,Success,12.61
Get all offices,SELECT * FROM offices;,"SELECT ""officeCode"", ""city"", ""phone"", ""addressLine1"", ""addressLine2"", ""state"", ""country"", ""postalCode"", ""territory"" FROM offices;",Yes,Yes,Yes,Success,35.63
Show all product lines,SELECT * FROM productlines;,SELECT * FROM productlines;,Yes,Yes,No,Success,27.9
List all payments,SELECT * FROM payments;,SELECT * FROM payments;,Yes,Yes,No,Success,26.04
Get product names and prices,"SELECT productName, buyPrice FROM products;","SELECT ""productName"" AS product_name, ""buyPrice"" AS price FROM products;",Yes,No,Yes,Wrong Result,52.12
Get customer names and cities,"SELECT customerName, city FROM customers;","SELECT ""customerName"", city FROM customers;",Yes,No,Yes,Wrong Result,60.46
List employee first and last names,"SELECT firstName, lastName FROM employees;","SELECT ""firstName"", ""lastName"" FROM employees;",Yes,No,Yes,Wrong Result,54.74
Get all order dates,SELECT orderDate FROM orders;,"SELECT ""orderDate"" AS order_date FROM orders;",Yes,No,Yes,Wrong Result,48.24
Show product vendor list,SELECT DISTINCT productVendor FROM products;,"SELECT ""productName"", ""productVendor"" FROM products;",Yes,No,Yes,Wrong Result,46.22
Get all product codes,SELECT productCode FROM products;,"SELECT ""productCode"" FROM ""products"";",Yes,No,Yes,Wrong Result,54.12
List all countries from offices,SELECT DISTINCT country FROM offices;,SELECT DISTINCT country FROM offices;,Yes,Yes,No,Success,28.26
Show all order statuses,SELECT DISTINCT status FROM orders;,SELECT DISTINCT status FROM orders;,Yes,Yes,No,Success,24.03
Get all payment amounts,SELECT amount FROM payments;,SELECT amount FROM payments;,Yes,Yes,No,Success,14.62
List all job titles,SELECT DISTINCT jobTitle FROM employees;,"SELECT DISTINCT ""jobTitle"" FROM employees;",Yes,No,Yes,Wrong Result,50.89
Get customer phone numbers,"SELECT customerName, phone FROM customers;","SELECT ""customerNumber"", phone FROM customers;",Yes,No,Yes,Wrong Result,448.29
Show product MSRP values,"SELECT productName, MSRP FROM products;","SELECT ""MSRP"" FROM products;",Yes,No,Yes,Wrong Result,35.12
