Question,Expected SQL,Generated SQL,Executed Successfully,Correct Result,Retry Needed,Final Status,Latency (s)
List all products,SELECT * FROM products;,"SELECT ""productCode"",""productName"",""productLine"",""productScale"",""productVendor"",""productDescription"",""quantityInStock"",""buyPrice"",""MSRP"" FROM ""products"";",Yes,Yes,No,Success,76.96
Get all customers,SELECT * FROM customers;,"SELECT * FROM ""customers"";",Yes,Yes,No,Success,24.69
Show all orders,SELECT * FROM orders;,"SELECT * FROM ""orders"";",Yes,Yes,No,Success,13.9
List all employees,SELECT * FROM employees;,"SELECT * FROM ""employees"";",Yes,Yes,No,Success,14.88
Get all offices,SELECT * FROM offices;,"SELECT * FROM ""offices"";",Yes,Yes,No,Success,16.14
Show all product lines,SELECT * FROM productlines;,"SELECT * FROM ""productlines"";",Yes,Yes,No,Success,28.4
List all payments,SELECT * FROM payments;,,No,No,No,Failed,7.99
Get product names and prices,"SELECT productName, buyPrice FROM products;","SELECT ""productName"" AS product_name, ""buyPrice"" AS price FROM ""products"";",Yes,No,No,Wrong Result,19.14
Get customer names and cities,"SELECT customerName, city FROM customers;","SELECT ""customerName"", ""city"" FROM ""customers"";",Yes,No,No,Wrong Result,21.73
List employee first and last names,"SELECT firstName, lastName FROM employees;",,No,No,No,Failed,47.42
Get all order dates,SELECT orderDate FROM orders;,"SELECT ""orderDate"" FROM ""orders"";",Yes,No,No,Wrong Result,30
Show product vendor list,SELECT DISTINCT productVendor FROM products;,"SELECT DISTINCT ""productVendor"" FROM ""products"";",Yes,No,No,Wrong Result,121.71
Get all product codes,SELECT productCode FROM products;,"SELECT ""productCode"" FROM ""products"";",Yes,No,No,Wrong Result,29.34
List all countries from offices,SELECT DISTINCT country FROM offices;,"SELECT DISTINCT ""country"" FROM ""offices"";",Yes,Yes,No,Success,30.17
Show all order statuses,SELECT DISTINCT status FROM orders;,"SELECT DISTINCT ""status"" FROM ""orders"" ORDER BY ""status"";",Yes,Yes,No,Success,26.77
Get all payment amounts,SELECT amount FROM payments;,"SELECT ""amount"" FROM ""payments"";",Yes,Yes,No,Success,20.3
List all job titles,SELECT DISTINCT jobTitle FROM employees;,"SELECT DISTINCT ""jobTitle"" FROM ""employees"";",Yes,No,No,Wrong Result,28.19
Get customer phone numbers,"SELECT customerName, phone FROM customers;","SELECT ""phone"" AS phone_number FROM customers;",Yes,No,No,Wrong Result,23.72
Show product MSRP values,"SELECT productName, MSRP FROM products;","SELECT ""MSRP"" FROM ""products"";",Yes,No,No,Wrong Result,11.07
List order numbers,SELECT orderNumber FROM orders;,"SELECT ""orderNumber"" AS ""order_number"" FROM ""orders"";",Yes,No,No,Wrong Result,23.08
Get orders with customer names,"SELECT o.orderNumber, o.orderDate, c.customerName FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;","SELECT o.*, c.""customerName"" FROM ""orders"" o JOIN ""customers"" c ON o.""customerNumber"" = c.""customerNumber"";",Yes,No,No,Wrong Result,17.72
