Question,Expected SQL,Generated SQL,Executed Successfully,Correct Result,Retry Needed,Final Status,Latency (s)
List all products,SELECT * FROM products;,"SELECT * FROM ""products"";",No,No,Yes,Failed,35.93
Get all customers,SELECT * FROM customers;,,No,No,No,Failed,85.58
Show all orders,SELECT * FROM orders;,"SELECT ""orderNumber"", ""orderDate"", ""requiredDate"", ""shippedDate"", ""status"", ""comments"", ""customerNumber"" FROM ""orders""",No,No,Yes,Failed,44.7
List all employees,SELECT * FROM employees;,,No,No,No,Failed,4.73
Get all offices,SELECT * FROM offices;,SELECT * FROM offices;,No,No,Yes,Failed,33.64
Show all product lines,SELECT * FROM productlines;,"SELECT * FROM ""productlines"";",No,No,Yes,Failed,36.29
List all payments,SELECT * FROM payments;,"SELECT * FROM ""payments"";",No,No,Yes,Failed,38.1
Get product names and prices,"SELECT productName, buyPrice FROM products;","SELECT ""productName"" AS product_name, ""buyPrice"" AS price FROM ""products"";",No,No,Yes,Failed,23.17
Get customer names and cities,"SELECT customerName, city FROM customers;","SELECT ""customerName"", ""city"" FROM ""customers"";",No,No,Yes,Failed,28.17
List employee first and last names,"SELECT firstName, lastName FROM employees;",,No,No,No,Failed,7.66
Get all order dates,SELECT orderDate FROM orders;,"SELECT ""orderDate"" FROM orders;",No,No,Yes,Failed,22.36
Show product vendor list,SELECT DISTINCT productVendor FROM products;,"SELECT ""productName"", ""productVendor"" FROM ""products"";",No,No,Yes,Failed,29.35
Get all product codes,SELECT productCode FROM products;,,No,No,No,Failed,47.79
List all countries from offices,SELECT DISTINCT country FROM offices;,"SELECT DISTINCT ""country"" FROM ""offices""",No,No,Yes,Failed,30.97
Show all order statuses,SELECT DISTINCT status FROM orders;,"SELECT DISTINCT ""status"" FROM ""orders""",No,No,Yes,Failed,21.36
Get all payment amounts,SELECT amount FROM payments;,"SELECT ""amount"" FROM ""payments"";",No,No,Yes,Failed,21.93
List all job titles,SELECT DISTINCT jobTitle FROM employees;,"SELECT DISTINCT ""jobTitle"" FROM ""employees""",No,No,Yes,Failed,39.46
Get customer phone numbers,"SELECT customerName, phone FROM customers;","SELECT ""phone"" AS phone_number FROM customers;",No,No,Yes,Failed,22.48
Show product MSRP values,"SELECT productName, MSRP FROM products;","SELECT ""MSRP"" FROM ""products"";",No,No,Yes,Failed,36.19
List order numbers,SELECT orderNumber FROM orders;,"SELECT ""orderNumber"" AS order_number FROM orders;",No,No,Yes,Failed,26.86
Get orders with customer names,"SELECT o.orderNumber, o.orderDate, c.customerName FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber;","SELECT o.*, c.""customerName"" FROM ""orders"" o JOIN ""customers"" c ON o.""customerNumber"" = c.""customerNumber"";",No,No,Yes,Failed,41.89
